"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ",217,52,6,28,11,14,0.2692307692307692,1.1421052631578947,9.18,8.651139,-0.5288609999999991
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ",98,7,0,2,2,2,0.2857142857142857,1.0103092783505154,2.8,2.264271,-0.5357289999999999
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ",967,104,1,91,27,31,0.2980769230769231,1.1244186046511628,40.73,37.951347,-2.7786529999999985
"Total","tj","sifb1dk06os","DiabetesStudy","sifb1dk06os_0902_DiabetesStudy_KnowledgeWarehouse_TJ",1671,106,3,56,26,32,0.3018867924528302,1.136734693877551,49.22,45.94395300000001,-3.2760469999999913
"Total","tj","sih839c068y","DiabetesStudy","sih839c068y_0923_DiabetesStudy_KnowledgeWarehouse_TJ",3027,231,1,129,62,72,0.3116883116883117,1.0772241992882563,101.23,113.68210911349998,12.452109113499972
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ",3149,405,1,285,106,130,0.32098765432098764,1.1088028169014084,31.3,14.634227040000003,-16.665772959999998
"Total","tj","sicx1em065n","DentalImplants","sicx1em065n_0916_DentalImplants_OGCreatives_KnowledgeWarehouse_TJ",2571,230,2,139,57,74,0.3217391304347826,1.1207497820401047,75.69,87.3519831818,11.661983181799997
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ",4844,521,2,410,133,170,0.32629558541266795,1.1599616858237547,132.13,138.08966513130002,5.959665131300028
"Total","tj","sifsl206dx","DentalImplantClinicalTrials","sifsl206dx_0925_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ",1809,218,3,128,60,72,0.3302752293577982,1.0904159132007234,82.36,104.37845457380001,22.018454573800014
"Total","tj","si4d3064g","DisabilityPay","si4d3064g_0916_DisabilityPay_KnowledgeWarehouse_TJ",6835,909,8,701,241,306,0.33663366336633666,1.1860142287003297,106.98,133.060187727,26.080187726999995
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ",1286,98,1,48,27,33,0.336734693877551,1.0982066609735268,62.01,54.513903000000006,-7.496096999999992
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ",1274,186,3,113,47,63,0.3387096774193548,1.14568345323741,48.4,54.25640483550001,5.856404835500008
